en,ro
His new book is going to come out next month.,Noua lui carte va apărea luna viitoare.
I had the exact same feeling.,Am avut exact același sentiment.
There's a monster under my bed.,Este un monstru sub patul meu.
"Tom liked Mary for years, but at some point, his feelings for her changed to love.","Tom o îndrăgea pe Mary de ani de zile, dar la un moment dat, sentimentele lui pentru ea s-au schimbat în dragoste."
An old parrot doesn't learn to speak.,Un papagal bătrân nu mai învață să vorbească.
"My friends always say I'm too calm, but my family always says I'm too annoying.","Prietenii mei spun mereu că sunt prea calm, dar familia mea spune mereu că sunt prea enervant."
Tom is doing something right.,Tom face ceva bine.
Just staying alive in these times is hard enough.,Doar ca să te menții în viață este suficient de greu în aceste timpuri.
Did you ask him why?,L-ai întrebat de ce?
The flight attendant shook Tom awake and told him that the plane had landed.,Însoțitoarea de zbor l-a zgâlțîit pe Tom ca să-l trezească și i-a spus că avionul aterizase.
Tom tried to conceal his anger.,Tom a încercat să-și ascundă furia.
Do you have WhatsApp?,Ai WhatsApp?
She complained about my low salary.,Ea s-a plâns de salariul meu mic.
I'm serious.,Sunt serios.
The methods of forced memorization are often effective.,Metodele de memorare forțată sunt adesea eficiente.
I am convinced that he is innocent.,Sunt convinsă că el este nevinovat.
Tom lay awake almost all night thinking about Mary.,Tom a stat treaz aproape toată noaptea gândindu-se la Mary.
He decided to specialize in physics at college.,El a decis să se specializeze în fizică la facultate.
We've got to find the key.,Trebuie să găsim cheia.
Isn't this great?,Nu este asta minunat?
How much?,Cât?
I have a lot of books.,Am o mulțime de cărți.
Every man has his faults.,Fiecare bărbat are defectele sale.
You should have done that years ago.,Ar fi trebuit să faci asta de ani de zile.
We're not sure where Tom and Mary are.,Nu suntem siguri unde se află Tom și Mary.
She could sing well when she was a child.,Cânta bine când era copil.
We shouldn't have done this.,N-ar fi trebuit să facem asta.
Sumatra is an island.,Sumatra este o insulă.
Tom doesn't know how to play golf.,Tom nu știe să joace golf.
He is eager to succeed.,Își dorește mult să reușească.
You're a safe driver.,Ești un șofer experimentat.
I'd like to thank you for coming today.,Aș vrea să vă mulțumesc pentru că ați venit astăzi.
You're not guilty.,Nu ești vinovat.
I hope I can do this.,Sper să pot face asta.
I like traveling by train.,Îmi place să merg cu trenul.
Get up and fight.,Ridică-te și luptă.
"Hi, Tom.","Salut, Tom."
One is never too old to unlearn bad habits.,O persoană nu este niciodată prea bătrână pentru a se dezvăța de obiceiurile proaste.
I borrowed Tom's bicycle.,Am împrumutat bicicleta lui Tom.
There are usually taxis in front of the train station.,De obicei sunt taxiuri în fața gării.
May I use your phone?,Pot folosi telefonul tău?
"You must teach me, one of these days.","Trebuie să mă înveți, într-una din aceste zilele astea."
I can't tell you why Tom is late.,Nu-ți pot spune de ce Tom întârzie.
I like chocolate.,Îmi place ciocolata.
We've had some tough times.,Am avut ceva perioade grele.
We have a big flat.,Avem un apartament mare.
I'll wait up for him.,Îl voi aștepta.
Who were you talking to?,Cu cine ai vorbit?
He has a Picasso.,El are un Picasso.
The plant ranges from the north of Europe to the south.,Planta se întinde din nordul Europei până în sud.
These gloves are Tom's.,Aceste mănuși îi aparțin lui Tom.
Tom actually hardly ever studies.,Tom de fapt aproape niciodată nu studiază.
He is devoid of humor.,El este lipsit de umor.
A person with a BMI of 25 to 29 is considered overweight.,O persoană având indicele de masă corporală de la 25 la 29 e considerată supraponderală.
That seems right to me.,Mi se pare corect.
Take this stuff away.,Ia chestia asta de aici.
I believe Tom can do that by himself.,Cred că Tom poate face asta singur.
3% of the population doesn't want to eat anymore.,3% din populație nu mai vrea să mănânce.
Please wash my back.,Te rog să-mi speli spatele.
"In winter, dress warmly.",Iarna îmbracă-te călduros.
Don't you want to talk to me?,Nu vrei să vorbești cu mine?
We love picnics.,Iubim picnicurile.
Emily is writing a letter.,Emily scrie o scrisoare.
We're going inside.,Mergem înăuntru.
I think she knows about us.,Cred că ea știe de noi.
Tom has just left.,Tom tocmai a plecat.
I went too far.,Am mers prea departe.
I want to enrol in a course.,Vreau să mă înscriu la curs.
I know that doesn't matter.,Știu că aia nu contează.
Mathematics is not just the memorization of formulas.,Matematica nu înseamnă doar memorarea formulelor.
Tom isn't always fair.,Tom nu este întotdeauna corect.
"What did you say? I'm sorry, I was lost in thought.","Ce ai spus? Îmi pare rău, căzusem pe gânduri."
Tom and Mary are both to blame.,Tom și Mary sunt amândoi de vină.
Where is the bank?,Unde este banca?
"In my opinion, German is the best language in the world.",Cred că limba germană este cea mai bună limbă din lume.
One of you should be helping Tom.,Unul dintre voi ar trebui să îl ajute pe Tom.
Japan is made up of volcanic islands.,Japonia este formată din insule vulcanice.
A mere glance is not enough for us to tell one from the other.,Doar o privire nu e de-ajuns să putem să-i distingem unul de celălalt.
The key question is not what can I gain but what do I have to lose.,"Întrebarea cheie nu este ceea ce pot obține, ci ceea ce am de pierdut."
Are you happy?,Ești fericit?
Don't expect others to think for you!,Nu te aștepta ca ceilalți să gândească pentru tine!
I run ten kilometers daily.,Alerg zece kilometri zilnic.
I hope they don't resort to violence to accomplish their goals.,Sper că ei nu recurg la violență pentru a-și îndeplini scopurile.
"Don't open this door, please.","Nu deschideți ușa aceasta, vă rog."
He speaks a little English.,Vorbeşte puţin engleza.
"When you send a telegram, brevity is essential because you will be charged for every word.","Când trimiteți o telegramă, concizia este esențială, deoarece veți fi taxat pentru fiecare cuvânt."
Is the lake deep?,E adânc lacul?
"They survived, even though the building was destroyed.",Au supraviețuit chiar dacă clădirea a fost distrusă.
Tom doesn't like the way Mary talks.,Lui Tom nu-i place felul în care vorbește Mary.
Our method is simple.,Metoda noastră este simplă.
What do you want?,Ce vrei?
I always keep promises.,Mă țin întotdeauna de promisiune.
She is a sophomore.,Ea este studentă în anul doi.
You can have it.,Poți să o iei.
How do you feel now?,Cum te simți acum?
It was the calm before the storm.,Era liniștea de dinaintea furtunii.
The police arrested the suspect yesterday.,Poliția a arestat suspectul ieri.
Don't ask what they think. Ask what they do.,Nu întreba ce cred ei. Întreabă ce fac ei.
Your accusation is preposterous.,Acuzația dumneavoastră este absurdă.
I am eating a slice of watermelon.,Mănânc o felie de pepene.
The quality of translation has improved.,Calitatea traducerii s-a îmbunătăţit.
I'll take my coffee black.,Îmi iau cafeaua simplă.
I will wait.,Eu voi aștepta.
Tom had an asthma attack.,Tom a avut un atac de astm.
Do you hunt?,Vânezi?
It's hot in Kyoto in the summer.,E cald în Kyoto pe timpul verii.
More than half of the Union troops were captured.,Mai mult de jumătate din trupele Uniunii au fost capturate.
Did you eat garlic?,Ai mâncat usturoi?
I'm sick.,Sunt bolnav.
Mary is my niece.,Mary este nepoata mea.
Today is Tuesday. I am buying fishes.,Azi e marţi. Cumpăr peşti.
Glad to meet you.,Încântat de cunoștință!
The computer is new.,Calculatorul este nou.
Can I use your pen?,Pot folosi pixul tău?
I like your country very much.,Îmi place mult țara ta.
I'm doubtful.,Am dubii.
Both Magdalena and Ania are from Poland.,Magdalena și Ania sunt din Polonia.
Do you know why he skipped class today?,Știi de ce a lipsit el de la oră astăzi?
"At the beginning you had disliked the idea, but now you seem to be content.","La început vă displăcuse ideea, dar acum păreți mulțumiți."
Did you wash your hands?,Te-ai spălat pe mâini?
I don't think you understand the repercussions your actions have caused.,Nu cred că înțelegi repercusiunile cauzate de acțiunile tale.
The restrooms are downstairs.,Grupurile sanitare sunt la parter.
It's been snowing all morning.,A nins toată dimineața.
We are very similar.,Semănăm foarte mult.
The snow has melted.,Zăpada s-a topit.
What kind of food does Tom like?,Ce fel de mâncare îi place lui Tom?
I was in disbelief.,Eram în dubiu.
I don't want to speak with you.,Nu vreau să vorbesc cu tine.
Our washing machine is in the basement.,Mașina noastră de spălat se află la subsol.
I advised him to take a rest.,L-am sfătuit să ia o pauză.
Waste makes want.,Risipa aduce sărăcia.
I remained standing.,Am rămas în picioare.
I commute by bus and train.,Eu fac naveta cu autobuzul și cu trenul.
God has created everything that exists.,Dumnezeu a creat tot ceea ce există.
Tom left Mary a message.,Tom i-a lăsat lui Mary un mesaj.
Why should I thank Tom?,De ce ar trebui să-i mulțumesc lui Tom?
The students are back.,Studenții s-au întors.
Tom shelled the shrimp.,Tom a curățat creveții de coajă.
"All right, I'm outta here.","OK, m-am cărat de aici."
We'll have to be prepared.,Trebuie să fim pregătiți.
The clinic was built by a business tycoon.,Clinica a fost construită de către un om de afaceri.
In an hour my child gets out of school.,"Peste o oră, copilul meu iese de la școală."
Allied forces were attacking from the west.,Forțele aliate atacau din vest.
The talks will last three days.,Negocierile vor ține trei zile.
I'll read the book.,Eu voi citi cartea.
The woman stopped and looked at him.,Femeia s-a oprit și l-a privit.
I like it very much.,Îmi place foarte mult.
Tom has his own apartment.,Tom are prorpriul său apartament.
He played an important part in the enterprise.,El a jucat un rol foarte important în afacere.
Can I borrow your pen?,Pot să-ți împrumut stiloul?
I don't have a cat.,N-am pisică.
"Merry Christmas, my love!","Crăciun Fericit, dragostea mea!"
I charge my phone daily.,Îmi încarc telefonul zilnic.
I hear you very well.,Te aud destul de bine.
He can't do that.,El nu poate să facă asta.
Where's the loo?,Unde este toaleta?
Susan is two years older than me.,Susan e cu doi ani mai mare decât mine.
Tom will take care of me.,Tom va avea grijă de mine.
They missed Tom.,Ei au uitat de Tom.
Who will provide capital for the venture?,Cine va oferi capital pentru această întreprindere?
You can't control everything.,Nu poți controla totul.
This is a three-star hotel; three hundred dollars a night.,Acesta este un hotel de trei stele; trei sute de dolari pe noapte.
They deprived the criminal of his rights.,Ei l-au privat pe criminal de drepturile sale.
Dracula was born in Romania.,Dracula s-a născut în România.
Jim's uncle is due to retire next year.,Unchiul lui Jim va ieși la pensie la anul.
I feel dizzy. I think I'm going to faint.,Mă simt amețit. Cred că voi leșina.
I would like to go to the beach with you but today I don't have time.,"Mi-ar plăcea să merg la plajă cu tine, dar astăzi nu am timp."
Mary had a flu.,Mary a avut gripă.
I want mine.,Îl vreau pe al meu.
No one was present.,Nimeni nu a fost prezent.
I need some medicine to kill the pain.,Am nevoie de niște medicamente pentru a îi calma durerea.
I agree with you completely.,Sunt întru totul de acord cu tine.
Do you have a minute?,Ai un minut?
Jane has a lot of clothes to wash.,Jane are multe haine de spălat.
I have a bone to pick with you.,Am o vorbă cu tine.
"As I reached the station, I got off the bus.","Ajungând în staţie, am coborât din autobuz."
"During hard times, people might not go on a trip, but they might be willing to pay extra for good coffee.",În timpurile grele poate că oamenii nu mai pleacă în vacanță și poate că sunt dispuși să plătească suplimentar pentru o cafea bună.
Tom was liked by everybody.,Tom era plăcut de oricine.
Santa lives at the North Pole.,Moș Crăciun locuiește la Polul Nord.
How do I get to the beach?,Cum ajung la plajă?
Now I feel the same.,Acum simt la fel.
"""Thanks for your help."" ""No problem.""","""Mulțumesc pentru ajutor."" ""Pentru puțin."""
"For the time being, we must give him the benefit of the doubt.","Pentru moment, trebuie să-i oferim prezumția de nevinovăție."
I was born in a Muslim-majority country.,M-am născut într-o țară cu majoritate musulmană.
She has a lot of carry-on luggage.,Ea are o mulțime de bagaje de mână.
I wash my face every evening to get my makeup off.,Îmi spăl faţa în fiecare seară ca să-mi dau jos machiajul.
What's your favorite leisure activity?,Ce activitate de agrement preferi?
"Were you listening, Tom?","Ascultai, Tom?"
Do you mind if I open the door?,Te deranjează dacă deschid uşa?
Snow melts.,Zăpada se topește.
It is inconceivable that anyone could possibly believe this.,Este de neconceput că cineva ar putea crede acest lucru.
"Wait just a minute, please.","Așteaptă un minut, te rog."
I hope spring sticks around just a little bit longer. I hate summers.,Sper ca primăvara să mai stea un pic pe-aici. Urăsc verile.
"I am exhausted, extremely tired.","Sunt epuizat, extrem de obosit."
Tom and I very often do the same thing.,Eu și cu Tom facem adesea același lucru.
No one could deny this.,Nimeni nu poate nega asta.
The evidence is indisputable.,Dovezile sunt incontestabile.
These aren't fish but mammals.,Aceștia nu sunt pești ci mamifere.
"If he wants to succeed at all, he must work harder.","Dacă vrea câtuşi de puţin să reuşească, trebuie sa muncească mai mult."
"I love judges, and I love courts. They are my ideals, that typify on earth what we shall meet hereafter in heaven under a just God.","Îmi plac judecătorii și iubesc curțile. Sunt idealurile mele ce reprezintă pe pământ, ceea ce vom întâlni în lumea de apoi, în ceruri, sub un Dumnezeu drept."
You look busy.,Pari ocupat.
"Before the advent of antibiotics, physicians had effective treatments for but a handful of diseases.","Înainte de apariția antibioticelor, medicii aveau tratamente eficiente doar pentru un număr limitat de boli."
You wouldn't last a day there.,Tu nu ai rezista nici o zi acolo.
Tom asked Mary for advice.,Tom i-a cerut sfatul lui Mary.
Could someone please comment on this sentence?,"Poate cineva, vă rog, să comenteze această propoziție?"
"Good morning, baby! Did you sleep well?","Bună dimineața, iubito! Ai dormit bine?"
You are the great love of my life.,Tu ești marea dragoste a vieții mele.
What are your plans for today?,Ce planuri ai astăzi?
He got home at six.,El s-a întors acasă la ora șase.
You must go through with your plan.,Trebuie să-ți duci planul la bun sfârșit.
He came to ask us for our help.,El a venit să ne ceară ajutorul.
It's a rainy day.,Este o zi ploioasă.
It's started to snow.,A început să ningă.
How much is this watch?,Cât costă acest ceas?
I like foreign languages!,Îmi plac limbile străine!
You are wavering.,Eziți.
My hair is receding.,Părul meu se împuținează.
He raised his hat as a token of respect.,El și-a ridicat pălăria în semn de respect.
This is what I'm paying you for.,Pentru asta te plătesc.
Today is very warm.,Azi e foarte cald.
Tom is reluctant.,Tom este șovăitor.
Who could benefit from this?,Cine ar putea beneficia de acest lucru?
Tom could hardly stand the pain.,Tom putea cu greu să suporte durerea.
I met Mihaela at the subway station.,Am întâlnit-o pe Mihaela la stația de metrou.
"If you don't know the way, ask a policeman.","Dacă nu cunoști drumul, întreabă un polițist."
Mr Tanaka is not at his desk right now.,Domnul Tanaka nu este momentan în biroul său.
Give me the mic.,Dați-mi microfonul.
Please give an example of usage.,Vă rog să-mi arătați un exemplu de utilizare.
No smoke without fire.,Nu iese fum fără foc.
Tom has already finished doing his chores.,Tom a terminat deja sarcinile.
Right?,Corect?
Our friend finished the race in second place.,Prietenul nostru a terminat cursa al doilea.
Your questions are getting progressively more profound.,Întrebările tale devin din ce în ce mai profunde.
"After working zealously, we were refreshed by fruit and water.","După ce am lucrat cu zel, ne-am înviorat cu fructe și apă."
We met in winter.,Ne-am întâlnit iarna.
I think I have a theory about that.,Cred că am o teorie despre acel lucru.
I won't lose anything.,Nu voi pierde nimic.
I am terribly hungry.,Sunt mort de foame.
He likes snow.,Lui îi place zăpada.
I'm from Rio.,Sunt din Rio.
You can't keep a good man down.,Nu poţi ţine un om bun la pământ mult timp.
Can I eat this orange?,Pot mânca portocala asta?
This student is American.,Acest student este american.
Tom locked himself in his room.,Tom s-a încuiat în camera sa.
I think you've mistaken me for someone else.,Cred că m-ai confundat cu altcineva.
Evildoers always think the worst of others.,Răufăcătorii tot timpul gândesc cele mai rele lucruri despre alții.
I found the room empty.,Am găsit camera goală.
This is a pun.,Acesta e un joc de cuvinte.
You need to set the record straight once and for all.,Trebuie să clarifici situația odată pentru totdeauna.
I'm 18 years old.,Am 18 ani.
No one came except Mary.,Nimeni nu a venit cu excepția lu Mary.
"England and Scotland were unified on May 1, 1707, to form the Kingdom of Great Britain.","Anglia și Scoția au fost unificate la 1 mai 1707, pentru a forma Regatul Marii Britanii."
I'm coming right away.,Vin imediat.
The factory produces ammunition.,Fabrica produce muniție.
It's just a little further.,Este doar puțin mai încolo.
I think exams are ruining education.,Cred că examenele ruinează educația.
Don't forget your things.,Nu va uita-tsi lucrurile.
Let's begin with the first chapter.,Să începem cu primul capitol.
Nobody wants it.,Nimeni nu-l dorește.
Empirical data is based solely on observation.,Datele empirice se bazează exclusiv pe observații.
You can use this car.,Poți folosi mașina asta.
Would you like something to drink?,Ai vrea ceva de băut?
Where did you lose your umbrella?,Unde ți-ai pierdut umbrela?
The rich are different from you and me.,Bogaţii sunt diferiţi de noi.
Stocks fell hard.,Acțiunile au picat bine de tot.
Nothing is beautiful but the truth.,Nimic nu e frumos în afară de adevăr.
Tom said he wanted something to eat.,Tom a spus că dorea să mănânce ceva.
I'm sick of this place.,M-am săturat de acest loc.
I don't care about economics.,Nu îmi pasă de economie.
Kick!,Lovește!
It was because of the storm that the trains were halted.,Din cauza furtunii trenurile au fost oprite.
Good night.,Noapte bună.
The treaty was approved.,Tratatul a fost aprobat.
I knew it all along.,Am știut-o tot timpul.
I don't know how you did it.,Nu știu cum ai făcut-o.
The doctor told Tom that he had to wear a cast for three weeks.,Doctorul i-a spus lui Tom că trebuie să poarte ghipsul trei săptămâni.
Bye! Take care!,Pa pa! Ai grijă de tine!
Tom laughed at Mary's joke.,Tom a râs la gluma Mariei.
Can you account for all the money you spent?,Poți să dai explicații pentru toți banii pe care i-ai cheltuit?
I took a taxi because it was raining.,"Ploua, așa că am luat un taxi."
It was hard as rock.,Era tare ca piatra.
I didn't want to stay at home.,N-am dorit să stau acasă.
I'm sleepy!,Îmi este somn!
I drank the water.,Eu am băut apa.
"My sister was on a diet for a week, but gave up.","Sora mea a ținut o dietă timp de o săptămână, dar apoi a renunțat."
It was Christmas.,Era Crăciunul.
Today is Christmas.,Azi e Crăciunul.
I know a place that is very pleasant.,Știu un loc care este foarte plăcut.
Would you like anything to eat?,Vreţi să mâncaţi ceva?
He talked about music.,El a vorbit despre muzică.
The naive man was utterly embarrassed in her presence.,Naivul bărbat era extrem de stânjenit în prezenţa ei.
"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday and Sunday are the seven days of the week.","Zilele săptămânii sunt: luni, marți, miercuri, joi, vineri, sâmbătă, duminică."
Just ignore him.,Ignoră-l pur și simplu.
Tom definitely has a lot of problems.,Tom cu siguranță are o mulțime de probleme.
Ken is happy.,Ken este fericit.
Do you believe in the existence of ghosts?,Crezi în existența fantomelor?
All the lights in the building have gone out.,Toate luminile în clădire s-au stins.
"Obviously, the theorem is true for finite sets.","Evident, teorema este adevărată pentru mulțimi finite."
The man had just returned from a visit to Europe.,Bărbatul tocmai s-a întors dintr-o vizită în Europa.
"Anyway, I don't like it.","Oricum, nu-mi place."
He has some money in the bank.,El are niște bani la bancă.
My brother is working at a gas station.,Fratele meu lucrează la o stație de benzină.
"Whoever starts working in their youth, gets to live lavishly when they're older.","Oricine începe să lucreze în tinerețe, ajunge să trăiască luxos la bătrânețe."
They are here.,Sunt aici.
Tom took one for the team.,Tom luă unul pentru echipă.
Tom wasn't shy.,Tom nu era timid.
The typhoon caused the river to flood.,Taifunul a făcut ca râul să iasă din matcă.
The colleague whose husband is French has left for Paris.,Colega al cărei soț este francez a plecat la Paris.
"When we started out, there were things we didn't know.","Când noi am început, erau lucruri pe care nu le cunoșteam."
I am at home.,Sunt acasă.
"On Saturday we went to the movies, then to the restaurant.","Sâmbătă am fost la film, apoi la restaurant."
Your wish is my command.,Dorința ta este poruncă pentru mine.
I will find out how the medicine works.,Voi afla cum merge doctoria.
What date is today?,Ce dată este astăzi?
I think I'm in trouble with my wife.,Cred că am dat de necaz cu nevastă-mea.
Tom is convinced that the earth is flat.,Tom este convins că Pământul este plat.
Every day counts.,Fiecare zi contează.
"You are a professional, but I am an amateur.","Eşti profesionist, dar eu sunt amator."
Close the door when you leave.,Închide ușa când pleci.
These are your books.,Acestea sunt cărțile tale.
I need to be alone.,Am nevoie să fiu singur.
"She has 2,000 books.",Ea are 2000 de cărți.
"For the time being, we must give him the benefit of the doubt.","Pentru moment, trebuie să-i acordăm prezumția de nevinovăție."
We use public transportation.,Folosim transportul public.
Swimming is a form of exercise.,Înotul este un fel de exercițiu.
I am not a kid anymore.,Nu mai sunt copil.
Do you like apples or oranges?,Îți plac merele sau portocalele?
I hope that John will come.,Sper că John vine.
Tom died last winter.,Tom a murit iarna trecută.
All these pictures were taken by me.,Toate aceste poze au fost făcute de mine.
Have you eaten the cake yet?,Ați mâncat deja plăcinta?
Why is Tom being followed?,De ce este urmărit Tom?
Keep playing.,Continuă să joci.
Would you like a window seat?,Doriţi un loc la fereastră?
"Technically, you're right. However, you also have to take into account the particular circumstances here.","Tehnic, ai dreptate. Totuși, trebuie să ții cont și de circumstanțele particulare de aici."
This solution is not workable in the long term.,Această soluție nu este funcțională pe termen lung.
I'll ask her tomorrow.,O voi întreba mâine.
It was snowing.,Ningea.
Tom should take Mary's advice.,Tom ar trebui să asculte de sfatul lui Mary.
I don't want to speak with you.,Nu vreau să vorbesc cu dumneavoastră.
"Let's try again, guys!","Să încercăm din nou, băieți!"
It was very hot.,A fost foarte cald.
Tom was as drunk as a skunk that last time I saw him.,Tom era beat mangă ultima oară când l-am văzut.
You should take the appropriate measures at the appropriate time.,Ar trebui să iei măsurile potrivite la timpul potrivit.
Gesundheit!,Sănătate!
Where's my suitcase?,Unde este valiza mea?
I saw Tom kiss Mary.,L-am văzut pe Tom sărutând-o pe Mary.
Rock is the music of the young.,Rockul este muzica celor tineri.
Hold on.,Rezistă.
I didn't get the job.,Nu am primit slujba.
What Tom says is true.,Ceea ce spune Tom este adevărat.
Wash your hands well.,Spală-te pe mâini bine.
She was raised in France.,Ea a fost crescută în Franța.
Cloudy with occasional rain.,Înnorat cu ploi ocazionale.
I'd like to feel how your lips taste.,Aș vrea să simt gustul buzelor tale.
The villagers had a bias against any newcomer.,Sătenii au avut prejudecăți împotriva oricărui nou-venit.
That's good to know.,Asta e bine de știut.
How much does it cost?,Cât costă?
"Someone must have told her, but it wasn't me.","Cineva trebuie sa-i fi spus ei, dar n-am fost eu acela."
She says that she will come tomorrow.,Ea spune că va veni mâine.
Show me.,Arată-mi.
I can't live without you.,Nu pot să trăiesc fără tine.
I will do my best in everything.,Îmi voi da silinţa în toate.
I need to get to bed.,Trebuie să mă duc la culcare.
Tom knows some of Mary's friends.,Tom îi cunoaște pe unii dintre prietenii Mariei.
Is everyone happy?,Sunteți toți fericiți?
Tom doesn't like repeating himself.,Lui Tom nu îi place să se repete.
It's incontestably the best method.,"Aceasta este, în mod incontestabil, cea mai bună metodă."
We're really drunk.,Suntem cu adevărat beți.
He teaches his friends English.,El predă engleză prietenilor săi.
Don't let Tom read this.,Nu îi permiteți lui Tom să citească asta.
Can I help you at all?,Pot să te ajut în vreun fel?
I have confidence that he is honest.,Sunt convinsă că este cinstit.
Tom never actually lived in Boston.,De fapt Tom nu a trăit niciodată în Boston.
A child is spoiled by too much attention.,Un copil e răsfăţat de prea multă atenţie.
Have you ever played chess?,Ai jucat vreodată șah?
Please send me a picture of yourself.,Te rog trimite-mi o poză cu tine.
Is there anything else to eat?,Mai este și altceva de mâncare?
I thought she was pretty.,Credeam că era drăguţă.
I want to be consistent and fair.,Vreau să fiu consecvent și corect.
Where are you from?,De unde ești?
You're testing my patience!,Îmi pui răbdare la încercare!
"Israeli Prime Minister Mr. Netanyahu will be hosted today evening by his German counterpart, Mrs. Merkel, in the Federal Chancellor's Office in Berlin.","Prim-ministrul israelian, domnul Netanyahu, va fi găzduit astă-seară de către omologul său german, doamna Merkel, la Cancelaria Federală din Berlin."
Can I talk to you outside for a second?,Pot vorbi cu tine afară pentru un moment?
I need to study.,Trebuie să studiez.
"Right now, I'm not hungry.",Nu mi-e foame acum.
I just had a look at your blog— it looks interesting.,Eu numai ce-am văzut blogul dumneavoastră - el pare interesant.
Tom has a pain in his big toe on his right foot.,Tom are o durere la degetul mare al piciorului drept.
"Nowadays we want our children to make their own decisions, but we expect those decisions to please us.","În zilele noastre vrem ca ai noștri copii să ia decizii pe cont propriu, dar așteptăm ca aceste decizii să ne fie pe plac."
The wine was excellent.,Vinul a fost excelent.
Tom is still not talking to Mary.,Tom încă nu vorbeşte cu Mary.
I'm now married.,Sunt căsătorit acum.
Social attitudes oftentimes take generations to change.,"De multe ori, durează generații până ca atitudinile sociale să se schimbe."
"You must not read such a magazine, as it will do you harm.",Nu trebuie să citeşti o asemenea revistă pentru că îţi va face rău.
Are you seriously thinking about getting married again at your age?,Te gândești serios să te măriți din nou la vârsta ta?
Tom is waiting for me there.,Tom mă așteaptă acolo.
I cannot understand what happened.,Nu pot întelege ce s-a întâmplat.
Seven policemen were killed.,Șapte polițiști au fost uciși.
Why was the last sentence added five hours ago?,De ce ultima propoziție a fost adăugată acum cinci ore?
He is out of the office.,El e în afara biroului.
She worships him.,Ea îl cinsteşte pe el.
"Good morning, everybody.",Bună dimineața la toată lumea.
I am a man.,Sunt bărbat.
Many happy returns to all who bear the name of a flower!,La mulți ani tuturor celor ce poartă nume de floare!
Don't be afraid of making mistakes.,Nu te teme să greşeşti.
We really like picnics a lot.,Nouă chiar ne plac picnicurile mult.
You are in my way.,Îmi stai în cale.
Mary appeared to be sleeping.,Mary părea că doarme.
It's OK to eat the rest of the cake if you want.,E OK să mănânci restul de tort dacă vrei.
I'm a university student.,Sunt student.
"Laugh and the world laughs with you; cry, and you cry alone.","Râzi, și lumea va râde cu tine; plângi, și vei plânge singur."
Tears came into my eyes when I was chopping onions.,"În timp ce tăiam cepele, mi-au dat lacrimile."
Tom and Mary have decided to get married.,Tom și Mary s-au hotărât să se căsătorească.
Can you comprehend what I am saying?,Puteți înțelege ce spun?
Mary has done her homework.,Mary și-a făcut temele.
I'm already able to write Chinese characters.,Sunt deja capabil să scriu caractere chinezești.
You must overcome the difficulties.,Trebuie să depăşeşti dificultăţile.
Do you have any questions about the menu?,Aveți vreo întrebare despre meniu?
There's a message for you.,E un mesaj pentru tine.
I can't eat.,Nu pot să mănânc.
The bridge has a span of 100 meters.,Podul are o lungime de 100 de metri.
There is an urgent need for a new approach to dealing with this problem.,Ne trebuie urgent o nouă abordare pentru a rezolva această problemă.
"Hey, look, a three-headed monkey!","Hei, uite, o maimuță cu trei capete!"
Tom laughed at Mary.,Tom a râs de Mary.
I'm very busy today. Come tomorrow!,Sunt foarte ocupat astăzi. Vino mâine!
Our grandfather is ill.,Bunicul nostru este bolnav.
We looked for it high and low.,L-am căutat prin toate colțurile.
Come over for dinner sometime.,Vino la cină cândva.
At five I was already able to ski.,La cinci ani puteam deja să schiez.
We handcuffed them.,Le-am pus cătușile.
Surprise!,Surpriză!
Let me congratulate you on your victory in the tournament.,Dă-mi voie să-ți felicit pentru victoria ta în turneu.
Don't provoke that wasp.,Nu provoca acea viespe.
Tom shouldn't have come here.,Tom nu ar fi trebuit să vină aici.
They said they'd make the boarding announcement 20 minutes before takeoff.,Au spus că vor face anunţul de îmbarcare cu 20 de minute înainte de decolare.
I need to charge my cell phone.,Trebuie să îmi încarc telefonul mobil.
It depends on the context.,Depinde de context.
My family is not rich.,Familia mea nu este bogată.
Tom's car has 100 horsepower.,Masina lui Tom are 100 de cai putere.
Why do academics have a double life?,De ce academicienii au o viață dublă?
The travel agent suggested that we take some traveller's cheques with us.,Agentul de voiaj ne-a sugerat să luăm cu noi câteva cecuri de călătorie.
It is said that nothing is more important than health.,Se spune că nimic nu e mai important decât sănătatea.
They talk to each other every day.,Ei vorbesc unul cu altul în fiecare zi.
There's somebody waiting for you outside.,Cineva te așteaptă afară.
Nice ass!,Ce fund frumos!
Tom's favorite thing to do was cooking.,Activitatea favorită a lui Tom era gătitul.
Days are shorter in winter.,Zilele sunt mai scurte iarna.
I commute by train.,Eu fac naveta cu trenul.
The law was enforced immediately.,Legea a fost aplicată imediat.
Please tell me the truth. Am I going to die?,Vă rog spuneți-mi adevărul. O să mor?
An offer like that is not to be refused.,O ofertă ca aceea nu e de refuzat.
I'm not busy now.,Nu sunt ocupat acum.
Tom wasn't John's roommate.,Tom nu era colegul de cameră al lui John.
Are you mad?,Ești supărat?
I can't find my watch.,Nu-mi pot găsi ceasul.
Tom will be dead next week.,Tom va muri săptămâna viitoare.
"""Do you live in Montreal?"" ""Quebec, actually.""","""Locuiești în Montreal?"" „În Quebec, de fapt.”"
I want to live in Italy.,Vreau să trăiesc în Italia.
Who else is coming?,Cine mai vine?
I'm drinking milk.,Beau lapte.
